graph_id,graph_label
0_0,18
0_1,5
0_2,0
0_3,11
0_4,3
0_5,2
0_6,0
0_7,0
0_8,10
0_9,6
0_10,5
0_11,6
0_12,4
0_13,6
0_14,3
0_15,4
0_16,2
0_17,1
0_18,0
0_19,0
1_0,6
1_1,12
1_2,15
1_3,15
1_4,11
1_5,11
1_6,11
1_7,5
1_8,9
1_9,0
1_10,5
1_11,0
1_12,4
1_13,4
1_14,1
1_15,1
1_16,2
1_17,0
1_18,1
1_19,0
2_0,19
2_1,18
2_2,13
2_3,7
2_4,8
2_5,12
2_6,10
2_7,12
2_8,1
2_9,4
2_10,2
2_11,7
2_12,0
2_13,6
2_14,0
2_15,3
2_16,3
2_17,1
2_18,1
2_19,0
3_0,5
3_1,4
3_2,15
3_3,16
3_4,11
3_5,10
3_6,6
3_7,7
3_8,11
3_9,0
3_10,9
3_11,1
3_12,1
3_13,3
3_14,2
3_15,0
3_16,0
3_17,2
3_18,1
3_19,0
4_0,10
4_1,17
4_2,13
4_3,12
4_4,13
4_5,12
4_6,10
4_7,3
4_8,10
4_9,3
4_10,9
4_11,4
4_12,1
4_13,5
4_14,0
4_15,1
4_16,2
4_17,2
4_18,0
4_19,0
5_0,11
5_1,10
5_2,16
5_3,14
5_4,13
5_5,13
5_6,13
5_7,7
5_8,4
5_9,7
5_10,2
5_11,3
5_12,0
5_13,0
5_14,0
5_15,4
5_16,3
5_17,1
5_18,1
5_19,0
6_0,18
6_1,9
6_2,7
6_3,12
6_4,1
6_5,0
6_6,0
6_7,7
6_8,8
6_9,10
6_10,9
6_11,7
6_12,0
6_13,2
6_14,2
6_15,4
6_16,2
6_17,1
6_18,1
6_19,0
7_0,18
7_1,16
7_2,17
7_3,14
7_4,15
7_5,4
7_6,7
7_7,7
7_8,8
7_9,7
7_10,7
7_11,8
7_12,6
7_13,5
7_14,4
7_15,1
7_16,2
7_17,2
7_18,0
7_19,0
8_0,17
8_1,17
8_2,17
8_3,10
8_4,3
8_5,2
8_6,0
8_7,6
8_8,1
8_9,2
8_10,2
8_11,7
8_12,5
8_13,3
8_14,0
8_15,2
8_16,1
8_17,1
8_18,1
8_19,0
9_0,13
9_1,16
9_2,5
9_3,6
9_4,15
9_5,6
9_6,2
9_7,0
9_8,0
9_9,6
9_10,0
9_11,0
9_12,7
9_13,2
9_14,5
9_15,2
9_16,1
9_17,1
9_18,1
9_19,0
10_0,11
10_1,17
10_2,17
10_3,7
10_4,5
10_5,9
10_6,8
10_7,5
10_8,5
10_9,8
10_10,6
10_11,4
10_12,1
10_13,2
10_14,5
10_15,2
10_16,0
10_17,2
10_18,1
